iter	Accuracy	Logloss
0	1	0.5099325155
1	1	0.3949179404
2	1	0.318793018
3	1	0.2429115954
4	1	0.1965923289
5	1	0.1560973974
6	1	0.119949841
7	1	0.09692276351
8	1	0.07563621466
9	1	0.06108944981
10	1	0.04909811777
11	1	0.03886051011
12	1	0.03335676475
13	1	0.02897654879
14	1	0.02511195727
15	1	0.02174533693
16	1	0.01939057978
17	1	0.01609582523
18	1	0.01393140937
19	1	0.01241656857
20	1	0.01070020874
21	1	0.008906517695
22	1	0.007870214549
23	1	0.006608433448
24	1	0.006128085629
25	1	0.00561894037
26	1	0.004795072979
27	1	0.004419281405
28	1	0.003824274655
29	1	0.003431127692
30	1	0.00306730984
31	1	0.002845802598
32	1	0.002515834013
33	1	0.002434069118
34	1	0.002318741992
35	1	0.002119522704
36	1	0.002061408284
37	1	0.001986209445
38	1	0.001909519563
39	1	0.00173623537
40	1	0.001702484733
41	1	0.001635061594
42	1	0.001501348106
43	1	0.001457067519
44	1	0.001400444656
45	1	0.001352760863
46	1	0.001296790634
47	1	0.001264040989
48	1	0.001227798697
49	1	0.001145851081
50	1	0.001105807681
51	1	0.001058348065
52	1	0.001028067641
53	1	0.001016361173
54	1	0.0009776998817
55	1	0.0009512608748
56	1	0.0009350312879
57	1	0.0009101240629
58	1	0.000891034608
59	1	0.0008782343021
60	1	0.0008339367204
61	1	0.0008140474375
62	1	0.0008010378908
63	1	0.0007802400423
64	1	0.0007666712087
65	1	0.0007516887319
66	1	0.0007289450612
67	1	0.0007105795675
68	1	0.0006910964629
69	1	0.0006776473867
70	1	0.0006508789711
71	1	0.0006404785592
72	1	0.0006298802087
73	1	0.0006298763123
74	1	0.0006298698086
75	1	0.0006160490111
76	1	0.000609010058
77	1	0.0006090069251
78	1	0.0005895442837
79	1	0.0005868600521
80	1	0.0005716593515
81	1	0.0005716445962
82	1	0.0005634620467
83	1	0.0005483968699
84	1	0.0005313828177
85	1	0.000531379978
86	1	0.0005313775165
87	1	0.0005216497944
88	1	0.0005149312916
89	1	0.0004943692323
90	1	0.0004937128432
91	1	0.0004937034419
92	1	0.0004937003083
93	1	0.0004819292857
94	1	0.0004819292857
95	1	0.0004819284829
96	1	0.0004819264576
97	1	0.000476446008
98	1	0.000476443894
99	1	0.0004764333083
100	1	0.0004764305439
101	1	0.0004678977779
102	1	0.0004678819759
103	1	0.00046787671
104	1	0.0004567072505
105	1	0.0004567072505
106	1	0.0004454181576
107	1	0.0004454181576
108	1	0.0004454165062
109	1	0.0004454124625
110	1	0.0004454104951
111	1	0.0004454078387
112	1	0.0004454078387
113	1	0.0004278528896
114	1	0.0004278395155
115	1	0.0004278367371
116	1	0.0004278327462
117	1	0.0004278231171
118	1	0.000427821026
119	1	0.0004253693777
120	1	0.0004253682884
121	1	0.0004253657913
122	1	0.000413885287
123	1	0.0004013485029
124	1	0.0004013485029
125	1	0.0004013370387
126	1	0.0004013361085
127	1	0.000401329112
128	1	0.0004013253703
129	1	0.0004013151256
130	1	0.0004013047234
131	1	0.0004012964339
132	1	0.0004012801338
133	1	0.0004012763019
134	1	0.0004012687522
135	1	0.0004012626271
136	1	0.0004012606115
137	1	0.0004012539465
138	1	0.0004012469168
139	1	0.0004012449284
140	1	0.0004012449284
141	1	0.0004012432665
142	1	0.0004012383678
143	1	0.0004011666973
144	1	0.0004011602968
145	1	0.0004011602968
146	1	0.0004011575062
147	1	0.0004011426869
148	1	0.0004011366434
149	1	0.0004011329605
150	1	0.0004011237699
151	1	0.0004011197045
152	1	0.0004011141459
153	1	0.0004011051942
154	1	0.0004011039768
155	1	0.0004011027922
156	1	0.0004010961369
157	1	0.0004010785887
158	1	0.0004010738962
159	1	0.0004010663018
160	1	0.0004010595977
161	1	0.0004010504125
162	1	0.0004010431791
163	1	0.0004010392918
164	1	0.0004010359601
165	1	0.0004010347893
166	1	0.0004010316745
167	1	0.0004010286525
168	1	0.0004010240723
169	1	0.0004010213643
170	1	0.0004010120822
171	1	0.0004010088789
172	1	0.0004010055602
173	1	0.0004010000839
174	1	0.0004009933904
175	1	0.0004009876212
176	1	0.0004009876212
177	1	0.0004009848964
178	1	0.000400983439
179	1	0.0004009806779
180	1	0.0004009698764
181	1	0.0004009611867
182	1	0.0004009591107
183	1	0.0004009448749
184	1	0.0004009378901
185	1	0.0004009344972
186	1	0.0004009222228
187	1	0.00040091457
188	1	0.0004009065595
189	1	0.0004009052965
190	1	0.0004009001137
191	1	0.0004009001137
192	1	0.0004008940016
193	1	0.0004008905571
194	1	0.0004008872767
195	1	0.0004008872767
196	1	0.0004008852186
197	1	0.0004008796532
198	1	0.0004008745383
199	1	0.0004008662378
200	1	0.000400863466
201	1	0.0004008621884
202	1	0.0004008608505
203	1	0.00040085798
204	1	0.0004008519713
205	1	0.000400845077
206	1	0.0004008438388
207	1	0.0004008416876
208	1	0.000400838339
209	1	0.000400837024
210	1	0.000400837024
211	1	0.0004008353802
212	1	0.0004008321267
213	1	0.0004008321267
214	1	0.000400825214
215	1	0.0004008215869
216	1	0.0004008085415
217	1	0.0004008032796
218	1	0.0004007957744
219	1	0.0004007930948
220	1	0.0004007869773
221	1	0.0004007869773
222	1	0.0004007751607
223	1	0.0004007718069
224	1	0.0004007681189
225	1	0.0004007681189
226	1	0.0004007665651
227	1	0.0004007404445
228	1	0.0004007343735
229	1	0.0004007296685
230	1	0.0004007229894
231	1	0.0004007171966
232	1	0.0004007110579
233	1	0.0004007094821
234	1	0.0004007094821
235	1	0.000400706787
236	1	0.0004007038181
237	1	0.0004007038181
238	1	0.000400697944
239	1	0.0004006948589
240	1	0.0004006917879
241	1	0.0004006796325
242	1	0.0004006783032
243	1	0.0004006661095
244	1	0.0004006593443
245	1	0.0004006542102
246	1	0.0004006421504
247	1	0.0004006421504
248	1	0.0004006304751
249	1	0.0004006245047
250	1	0.0004006186341
251	1	0.0004006070728
252	1	0.0004006011566
253	1	0.000400590704
254	1	0.0004005877727
255	1	0.0004005818302
256	1	0.0004005582179
257	1	0.0004005551521
258	1	0.0004005536834
259	1	0.0004005506371
260	1	0.0004005447381
261	1	0.0004005386751
262	1	0.0004005327348
263	1	0.0004005268683
264	1	0.0004005209286
265	1	0.0004005149891
266	1	0.0004005090499
267	1	0.0004005075769
268	1	0.0004004954859
269	1	0.0004004895866
270	1	0.0004004865199
271	1	0.0004004745636
272	1	0.0004004686534
273	1	0.0004004627132
274	1	0.0004004568154
275	1	0.0004004509061
276	1	0.0004004450088
277	1	0.0004004390826
278	1	0.0004004331469
279	1	0.0004004272199
280	1	0.0004004212933
281	1	0.0004004153584
282	1	0.0004004093994
283	1	0.0004004034736
284	1	0.0004003975667
